run_id,step_idx,time_s,episode,r1_target_x,r1_target_y,r1_target_z,r1_meas_x,r1_meas_y,r1_meas_z,r2_target_x,r2_target_y,r2_target_z,r2_meas_x,r2_meas_y,r2_meas_z,kuka_x,kuka_y,kuka_z,dist_r1_r2,dist_r1_kuka,dist_r2_kuka,dist_min,reward_r1,reward_r2,in_collision,pos_err_r1,pos_err_r2,dt
20260410_083313_ep01,1,0,1,280,0,250,282.045323026923,-2.43443401796448,251.789520335187,210,160,130,211.589201117771,160.943663022522,129.421080934736,1001.66778647616,-0.74391713537229,300.625655946859,215.940970332982,721.279637789364,824.425891832798,215.940970332982,1.47275424883408,2.32864682095049,0,3.64858853563,1.93680339139718,0.2
20260410_083313_ep01,2,0.2,1,275.333333333333,-10.6666666666667,242,274.280375923868,-11.7185738156842,242.941068860979,216,141.333333333333,134,216.178386636533,140.722485834468,134.610931605055,1002.38097792344,2.86658915985231,298.84141531099,195.83037676595,730.388980163575,814.917428070162,195.83037676595,-2.33714687457175,-3.49331090207443,0,1.76091980436505,0.882152982775044,0.2
20260410_083313_ep01,3,0.4,1,270.666666666667,-21.3333333333333,234,270.105216121349,-22.0194094883879,232.857903127895,222,122.666666666667,138,221.763168318713,121.473719634609,139.433662778345,1002.07074412616,0.390697299437217,299.051524181295,177.919421020168,735.294051751924,805.617075811556,177.919421020168,-3.07866924210204,-4.69771650523668,0,1.44579129567323,1.8800534110946,0.2
20260410_083313_ep01,4,0.6,1,266,-32,226,265.375344818007,-32.8407311665274,227.321184713591,228,104,142,229.216140114177,101.06629605787,142.763327544054,998.724891272341,0.157655305818862,297.317870943332,162.445717807497,737.421173331563,791.336451057819,162.445717807497,-3.481535095268,-6.50569458038936,0,1.68598696263884,3.26623399910154,0.2
20260410_083313_ep01,5,0.8,1,261.333333333333,-42.6666666666667,218,260.050699697313,-41.7424272259925,219.092450461394,234,85.3333333333333,146,235.044966553138,82.7872765548551,144.888246243649,996.851833201452,-0.853784571258593,301.928120243805,147.102677533117,742.569552041714,782.308795300685,147.102677533117,-5.09870284152546,-7.13771556224519,0,1.92167000251014,2.96822449137077,0.2
20260410_083313_ep01,6,1,1,256.666666666667,-53.3333333333333,210,255.497824467625,-51.6913097322392,208.074684943596,240,66.6666666666667,150,241.527238411325,65.5841160760637,150.657257110475,1000.96223773554,1.98994471468593,299.345203771651,131.321985182402,752.946994239979,776.462389502564,131.321985182402,-10.6120958593153,-11.1455513892454,0,2.78734132449307,1.98402617309095,0.2
20260410_083313_ep01,7,1.2,1,252,-64,202,250.714754725399,-64.769287690307,202.065583939921,246,48,154,247.809779324489,47.3309339316237,154.826231136779,999.545684317054,-1.61855356928984,300.29056646996,121.681777695042,757.881206737674,767.243635382866,121.681777695042,-12.632187784744,-14.0776877460635,0,1.49931991900287,2.09895414399286,0.2
20260410_083313_ep01,8,1.4,1,247.333333333333,-74.6666666666667,194,245.723860904449,-74.6367755159967,194.390560474628,252,29.3333333333333,158,251.649579112401,30.5768592255556,158.447007762574,1000.50400422792,0.487685875151481,300.084531730201,111.341645637978,765.83808015434,762.725046503448,111.341645637978,-15.238569562428,-16.120214950052,0,1.65645176946664,1.36710181877367,0.2
20260410_083313_ep01,9,1.6,1,242.666666666667,-85.3333333333333,186,245.208702382152,-86.5173783115272,185.699357288679,258,10.6666666666667,162,257.558912573057,11.4161481687886,161.200503901791,997.182878506702,-1.34155659991933,300.616862024862,101.703968053869,765.458107970144,752.757126121486,101.703968053869,-18.8913493812088,-19.4493765768426,0,2.82033581849072,1.18130209992287,0.2
20260410_083313_ep01,10,1.8,1,238,-96,178,237.765639457543,-98.0550856878736,177.841853850418,266.095386999789,-0.90792092379111,165.03289830779,265.74152408343,-0.631179112808444,163.267871582062,997.784887936235,-3.03966030307591,296.685364545385,102.403460156903,775.10061872861,744.105849171468,102.403460156903,-18.5911207969427,-18.1870167836335,0,2.07444263670777,1.82129743206697,0.2
