Time_s,RL_SpeedOverride,Reward,TrackingError_mm,EE_Velocity_mms,TorqueMag_Nm
0,0.999600529670715,-0.0703317016913788,9.16476096e-16,0.848186554950747,155.800121930834
0.03,0.999600529670715,0.0795027523022731,0.0254455966485217,0.848186554950747,155.800121930834
0.06,0.999621570110321,0.033714761051569,0.19567595995489,5.67434544354562,155.800121930834
0.09,0.999639689922333,0.0395710904086289,0.634345106848964,14.6223048964691,155.800121930834
0.12,0.999601781368256,0.052018748334089,0.808852726911379,26.9616192441076,116.95574962827
0.15,0.999616920948029,0.0562571761554277,2.06896008794918,42.0035825693451,116.95574962827
0.18,0.999629616737366,0.0591740991169305,3.84199691480462,59.1012287076739,116.95574962827
0.21,0.999639868736267,0.0606974564019695,6.17147683707788,77.6493312471301,116.95574962827
0.24,0.99964827299118,0.0607794532758118,9.08400893491951,97.0844035282662,116.95574962827
0.27,0.999636650085449,0.0935201604136917,0.00056265373482727,116.884698644215,111.248456731448
0.3,0.999641597270966,0.0885251507538835,4.09739568799057,136.570209440662,111.248456731448
0.33,0.999644696712494,0.0760062499167725,8.7684757283285,155.702668515801,111.248456731448
0.36,0.999646246433258,0.062900362023853,13.9850421699894,173.885548220446,111.248456731448
0.39,0.999646306037903,0.0492778629015373,19.707963987309,190.764060657901,111.248456731448
0.42,0.999661087989807,0.0150916488712819,25.8887187164194,206.025157684022,124.009165869341
0.45,0.999658524990082,0.000715374006645225,32.4706446427256,219.39753090726,124.009165869341
0.48,0.999654650688171,-0.0138784246470902,39.3901929927532,230.651611688581,124.009165869341
0.51,0.99964964389801,-0.0285613143571134,46.5781801265423,239.599571141507,124.009165869341
0.54,0.999643623828888,-0.0432011387967293,53.9610397301644,246.095320132135,124.009165869341
0.57,0.99954617023468,0.0576621026916699,0.261377812793097,250.034509279016,102.714076469661
0.6,0.999536216259003,0.0435510350895713,7.80198120314384,251.354528953448,102.714076469661
0.63,0.999538004398346,0.0298841222809267,15.3030159297285,250.034509279018,102.714076469661
0.66,0.999551653862,0.0168203838152298,22.6858753469155,246.095320132132,102.714076469661
0.69,0.999563872814178,0.00450358968098803,29.8738623880088,239.599571141507,102.714076469661
0.72,0.999617338180542,0.0173762152307112,21.4908666598979,230.651611688581,141.362662428809
0.75,0.999625623226166,0.00694668116777301,28.0727925870438,219.397530907262,141.362662428809
0.78,0.999632477760315,-0.00238247094931987,34.253547317522,206.025157684019,141.362662428809
0.81,0.999637842178345,-0.0104963414602586,39.9764691372314,190.764060657901,141.362662428809
0.84,0.999641478061676,-0.0173077931026871,45.1930355838258,173.885548220448,141.362662428809
0.87,0.999602675437927,-0.0195769660822286,49.8641156392865,155.702668515811,111.672618701596
0.9,0.999603092670441,-0.0235809131368047,53.9612219224956,136.570209440641,111.672618701596
0.93,0.999601602554321,-0.0261431476259954,57.4677628818146,116.884698644214,111.672618701596
0.96,0.99959796667099,-0.0272460402555743,60.3802949876577,97.0844035282879,111.672618701596
0.99,0.999592125415802,-0.0337927815799687,62.7097749250671,77.6493312471147,111.672618701596
1.02,0.99958074092865,0.0355596772802223,10.5213004985267,59.1012287076892,144.061722012739
1.05,0.99957001209259,0.0279829164358095,11.781407974423,42.0035825693293,144.061722012739
1.08,0.999556601047516,0.0208215326148185,12.5902565511114,26.9616192441063,144.061722012739
1.11,0.999540269374847,0.0139307506927765,13.0289256976944,14.6223048964781,144.061722012739
1.14,0.999521017074585,0.00712789753494925,13.1991560608857,5.67434544355061,144.061722012739
1.17,0.999568939208984,-0.00354682599298674,13.224601657517,0.848186554942133,185.490618903983
1.2,0.999549806118011,-0.0175194174040362,13.2516354413534,1.6216270315681,185.490618903983
1.23,0.999590873718262,-0.0447403093414694,13.4356230381531,10.8486416155301,185.490618903983
